project,class,method,params,start_line,cc,status,line_cov,instr_cov,branch_cov,line_cov_num,line_cov_den,instr_cov_num,instr_cov_den,branch_cov_num,branch_cov_den,tests,calls,log_path,report_path,tests_path,artifact_report_path,exec_path
Lang,org.apache.commons.lang3.math.NumberUtils,createNumber,final String str,323,64,ok,79.3,85.5,80.2,69,87,383,448,85,106,29,28,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_math_NumberUtils__createNumber__323.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_math_NumberUtils__createNumber__323/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_math_NumberUtils__createNumber__323/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_math_NumberUtils__createNumber__323/jacoco.exec
Lang,org.apache.commons.lang3.ClassUtils,isAssignable,"Class<?> cls, final Class<?> toClass, final boolean autoboxing",1261,31,ok,62.2,45.8,36.8,28,45,99,216,28,76,145,13,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_ClassUtils__isAssignable__1261.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_ClassUtils__isAssignable__1261/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_ClassUtils__isAssignable__1261/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_ClassUtils__isAssignable__1261/jacoco.exec
Lang,org.apache.commons.lang3.BooleanUtils,toBooleanObject,final String str,734,56,ok,98.7,92.5,78.1,75,76,319,345,114,146,0,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_BooleanUtils__toBooleanObject__734.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_BooleanUtils__toBooleanObject__734/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_BooleanUtils__toBooleanObject__734/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_BooleanUtils__toBooleanObject__734/jacoco.exec
Lang,org.apache.commons.lang3.time.DurationFormatUtils,format,"final Token[] tokens, final long years, final long months, final long days, final long hours, final long minutes,
            final long seconds,
            final long milliseconds, final boolean padWithZeros",241,34,ok,100.0,98.6,90.0,66,66,289,293,72,80,0,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_time_DurationFormatUtils__format__241.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__format__241/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__format__241/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__format__241/jacoco.exec
Lang,org.apache.commons.lang3.math.NumberUtils,isCreatable,final String str,555,45,ok,85.7,87.3,68.5,54,63,241,276,63,92,252,18,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_math_NumberUtils__isCreatable__555.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_math_NumberUtils__isCreatable__555/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_math_NumberUtils__isCreatable__555/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_math_NumberUtils__isCreatable__555/jacoco.exec
Lang,org.apache.commons.lang3.JavaVersion,get,final String versionStr,219,31,ok,100.0,100.0,100.0,38,38,111,111,35,35,0,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_JavaVersion__get__219.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_JavaVersion__get__219/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_JavaVersion__get__219/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_JavaVersion__get__219/jacoco.exec
Lang,org.apache.commons.lang3.time.DurationFormatUtils,formatPeriod,"final long startMillis, final long endMillis, final String format, final boolean padWithZeros,
            final TimeZone timezone",530,23,ok,93.1,94.3,89.1,67,72,296,314,41,46,0,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_time_DurationFormatUtils__formatPeriod__530.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__formatPeriod__530/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__formatPeriod__530/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__formatPeriod__530/jacoco.exec
Lang,org.apache.commons.lang3.StringUtils,replaceEach,"final String text, final String[] searchList, final String[] replacementList, final boolean repeat, final int timeToLive",6401,29,ok,100.0,100.0,0.0,1,1,7,7,0,0,0,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_StringUtils__replaceEach__6401.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_StringUtils__replaceEach__6401/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_StringUtils__replaceEach__6401/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_StringUtils__replaceEach__6401/jacoco.exec
Lang,org.apache.commons.lang3.time.DurationFormatUtils,lexx,final String format,680,23,ok,96.6,98.5,97.1,57,59,197,200,34,35,51,5,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_time_DurationFormatUtils__lexx__680.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__lexx__680/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__lexx__680/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_time_DurationFormatUtils__lexx__680/jacoco.exec
Lang,org.apache.commons.lang3.reflect.TypeUtils,isAssignable,"final Type type, final GenericArrayType toGenericArrayType, final Map<TypeVariable<?>, Type> typeVarAssigns",990,19,ok,100.0,100.0,0.0,1,1,5,5,0,0,87,21,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Lang/org_apache_commons_lang3_reflect_TypeUtils__isAssignable__990.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Lang_stable/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_reflect_TypeUtils__isAssignable__990/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_reflect_TypeUtils__isAssignable__990/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Lang/org_apache_commons_lang3_reflect_TypeUtils__isAssignable__990/jacoco.exec
