project,class,method,params,start_line,cc,status,line_cov,instr_cov,branch_cov,line_cov_num,line_cov_den,instr_cov_num,instr_cov_den,branch_cov_num,branch_cov_den,tests,calls,log_path,report_path,tests_path,artifact_report_path,exec_path
Math,org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer,doOptimize,,290,43,ok,0.6,0.6,0.0,1,154,5,782,0,82,5,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_optim_nonlinear_vector_jacobian_LevenbergMarquardtOptimizer__doOptimize__290.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_13/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optim_nonlinear_vector_jacobian_LevenbergMarquardtOptimizer__doOptimize__290/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optim_nonlinear_vector_jacobian_LevenbergMarquardtOptimizer__doOptimize__290/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optim_nonlinear_vector_jacobian_LevenbergMarquardtOptimizer__doOptimize__290/jacoco.exec
Math,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.CMAESOptimizer,doOptimize,,370,37,ok,0.0,0.0,0.0,0,99,0,578,0,70,3,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_optim_nonlinear_scalar_noderiv_CMAESOptimizer__doOptimize__370.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_20/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optim_nonlinear_scalar_noderiv_CMAESOptimizer__doOptimize__370/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optim_nonlinear_scalar_noderiv_CMAESOptimizer__doOptimize__370/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optim_nonlinear_scalar_noderiv_CMAESOptimizer__doOptimize__370/jacoco.exec
Math,org.apache.commons.math3.optimization.general.LevenbergMarquardtOptimizer,doOptimize,,279,43,ok,0.0,0.0,0.0,0,156,0,787,0,82,5,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_optimization_general_LevenbergMarquardtOptimizer__doOptimize__279.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_14/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_general_LevenbergMarquardtOptimizer__doOptimize__279/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_general_LevenbergMarquardtOptimizer__doOptimize__279/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_general_LevenbergMarquardtOptimizer__doOptimize__279/jacoco.exec
Math,org.apache.commons.math3.optimization.direct.CMAESOptimizer,doOptimize,,497,36,ok,0.0,0.0,0.0,0,94,0,547,0,68,8,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_optimization_direct_CMAESOptimizer__doOptimize__497.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_21/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_direct_CMAESOptimizer__doOptimize__497/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_direct_CMAESOptimizer__doOptimize__497/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_direct_CMAESOptimizer__doOptimize__497/jacoco.exec
Math,org.apache.commons.math3.dfp.DfpDec,round(int),int,164,38,ok,0.0,0.0,0.0,0,63,0,342,0,80,2,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_dfp_DfpDec__round_int___164.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_19/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_dfp_DfpDec__round_int___164/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_dfp_DfpDec__round_int___164/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_dfp_DfpDec__round_int___164/jacoco.exec
Math,org.apache.commons.math3.analysis.solvers.FieldBracketingNthOrderBrentSolver,"solve(int,RealFieldUnivariateFunction<T>,T,T,T,AllowedSolution)","int,RealFieldUnivariateFunction<T>,T,T,T,AllowedSolution",188,34,method-lines-missing,,,,,,,,,,2,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_analysis_solvers_FieldBracketingNthOrderBrentSolver__solve_int_RealFieldUnivariateFunction_T__T_T_T_AllowedSolution___188.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_23/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_analysis_solvers_FieldBracketingNthOrderBrentSolver__solve_int_RealFieldUnivariateFunction_T__T_T_T_AllowedSolution___188/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_analysis_solvers_FieldBracketingNthOrderBrentSolver__solve_int_RealFieldUnivariateFunction_T__T_T_T_AllowedSolution___188/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_analysis_solvers_FieldBracketingNthOrderBrentSolver__solve_int_RealFieldUnivariateFunction_T__T_T_T_AllowedSolution___188/jacoco.exec
Math,org.apache.commons.math3.ml.neuralnet.twod.NeuronSquareMesh2D,createLinks,,424,46,ok,0.0,0.0,0.0,0,73,0,466,0,89,6,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_ml_neuralnet_twod_NeuronSquareMesh2D__createLinks__424.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_11/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_ml_neuralnet_twod_NeuronSquareMesh2D__createLinks__424/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_ml_neuralnet_twod_NeuronSquareMesh2D__createLinks__424/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_ml_neuralnet_twod_NeuronSquareMesh2D__createLinks__424/jacoco.exec
Math,org.apache.commons.math3.dfp.DfpMath,"pow(Dfp,Dfp)","Dfp,Dfp",504,40,method-lines-missing,,,,,,,,,,28,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_dfp_DfpMath__pow_Dfp_Dfp___504.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_15/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_dfp_DfpMath__pow_Dfp_Dfp___504/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_dfp_DfpMath__pow_Dfp_Dfp___504/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_dfp_DfpMath__pow_Dfp_Dfp___504/jacoco.exec
Math,org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer,optimize(LeastSquaresProblem),LeastSquaresProblem,296,43,method-lines-missing,,,,,,,,,,38,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_fitting_leastsquares_LevenbergMarquardtOptimizer__optimize_LeastSquaresProblem___296.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_12/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_fitting_leastsquares_LevenbergMarquardtOptimizer__optimize_LeastSquaresProblem___296/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_fitting_leastsquares_LevenbergMarquardtOptimizer__optimize_LeastSquaresProblem___296/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_fitting_leastsquares_LevenbergMarquardtOptimizer__optimize_LeastSquaresProblem___296/jacoco.exec
Math,org.apache.commons.math3.optimization.direct.BOBYQAOptimizer,"bobyqb(double[],double[])","double[],double[]",387,139,ok,0.0,0.0,0.0,0,488,0,2782,0,266,2,0,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/logs/Math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer__bobyqb_double___double_____387.log,/data/peiting/symbolic/bs/baseline/evosuite/cache/project_workspace/Math_stable_worker_1/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer__bobyqb_double___double_____387/evosuite-tests,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer__bobyqb_double___double_____387/jacoco-report/report.xml,/data/peiting/symbolic/bs/baseline/evosuite/reports/batch/artifacts/Math/org_apache_commons_math3_optimization_direct_BOBYQAOptimizer__bobyqb_double___double_____387/jacoco.exec
