project,access,cc,is_constructor,method_fen,class_name,method_name,params_types,file,line_number,coverage_status,full_coverage,not_full_reasons,line_cov_summary,instr_cov_summary,branch_cov_summary,tests,calls
lang3.20,public,64,False,org.apache.commons.lang3.math.NumberUtils.createNumber(String),org.apache.commons.lang3.math.NumberUtils,createNumber,String,org/apache/commons/lang3/math/NumberUtils.java,323,ok,False,line_not_full;instr_not_full;branch_not_full,79.3% (69/87),85.5% (383/448),80.2% (85/106),29,28
lang3.20,public,56,False,org.apache.commons.lang3.BooleanUtils.toBooleanObject(String),org.apache.commons.lang3.BooleanUtils,toBooleanObject,String,org/apache/commons/lang3/BooleanUtils.java,734,ok,False,line_not_full;instr_not_full;branch_not_full,98.7% (75/76),92.5% (319/345),78.1% (114/146),0,0
lang3.20,public,45,False,org.apache.commons.lang3.math.NumberUtils.isCreatable(String),org.apache.commons.lang3.math.NumberUtils,isCreatable,String,org/apache/commons/lang3/math/NumberUtils.java,555,ok,False,line_not_full;instr_not_full;branch_not_full,85.7% (54/63),87.3% (241/276),68.5% (63/92),252,18
lang3.20,public,43,False,"org.apache.commons.lang3.RandomStringUtils.random(int,int,int,boolean,boolean,char[],Random)",org.apache.commons.lang3.RandomStringUtils,random,"int,int,int,boolean,boolean,char[],Random",org/apache/commons/lang3/RandomStringUtils.java,255,ok,False,line_not_full;instr_not_full;branch_not_full,89.6% (60/67),87.4% (277/317),88.8% (71/80),0,0
lang3.20,protected,40,False,org.apache.commons.lang3.time.FastDatePrinter.parsePattern(),org.apache.commons.lang3.time.FastDatePrinter,parsePattern,,org/apache/commons/lang3/time/FastDatePrinter.java,1330,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,protected,37,False,"org.apache.commons.lang3.builder.ToStringStyle.appendInternal(StringBuffer,String,Object,boolean)",org.apache.commons.lang3.builder.ToStringStyle,appendInternal,"StringBuffer,String,Object,boolean",org/apache/commons/lang3/builder/ToStringStyle.java,1449,ok,False,line_not_full;instr_not_full;branch_not_full,47.2% (25/53),36.2% (96/265),42.6% (23/54),0,0
lang3.20,package-private,34,False,"org.apache.commons.lang3.time.DurationFormatUtils.format(Token[],long,long,long,long,long,long,long,boolean)",org.apache.commons.lang3.time.DurationFormatUtils,format,"Token[],long,long,long,long,long,long,long,boolean",org/apache/commons/lang3/time/DurationFormatUtils.java,239,ok,False,instr_not_full;branch_not_full,100.0% (66/66),98.6% (289/293),90.0% (72/80),0,0
lang3.20,private,32,False,"org.apache.commons.lang3.time.DateUtils.modify(Calendar,int,ModifyType)",org.apache.commons.lang3.time.DateUtils,modify,"Calendar,int,ModifyType",org/apache/commons/lang3/time/DateUtils.java,1107,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),0,0
lang3.20,public,31,False,"org.apache.commons.lang3.ClassUtils.isAssignable(Class<?>,Class<?>,boolean)",org.apache.commons.lang3.ClassUtils,isAssignable,"Class<?>,Class<?>,boolean",org/apache/commons/lang3/ClassUtils.java,1261,ok,False,line_not_full;instr_not_full;branch_not_full,62.2% (28/45),45.8% (99/216),36.8% (28/76),145,13
lang3.20,private,27,False,"org.apache.commons.lang3.time.FastDateParser.getStrategy(char,int,Calendar)",org.apache.commons.lang3.time.FastDateParser,getStrategy,"char,int,Calendar",org/apache/commons/lang3/time/FastDateParser.java,923,method-lines-missing,False,status=method-lines-missing,% (/),% (/),% (/),54,0
lang3.20,private,23,False,"org.apache.commons.lang3.StringUtils.splitWorker(String,String,int,boolean)",org.apache.commons.lang3.StringUtils,splitWorker,"String,String,int,boolean",org/apache/commons/lang3/StringUtils.java,7606,error(rc=1),False,status=error(rc=1),% (/),% (/),% (/),,
lang3.20,public,23,False,"org.apache.commons.lang3.time.DurationFormatUtils.formatPeriod(long,long,String,boolean,TimeZone)",org.apache.commons.lang3.time.DurationFormatUtils,formatPeriod,"long,long,String,boolean,TimeZone",org/apache/commons/lang3/time/DurationFormatUtils.java,529,ok,False,line_not_full;instr_not_full;branch_not_full,93.1% (67/72),94.3% (296/314),89.1% (41/46),0,0
lang3.20,package-private,23,False,org.apache.commons.lang3.time.DurationFormatUtils.lexx(String),org.apache.commons.lang3.time.DurationFormatUtils,lexx,String,org/apache/commons/lang3/time/DurationFormatUtils.java,680,ok,False,line_not_full;instr_not_full;branch_not_full,96.6% (57/59),98.5% (197/200),97.1% (34/35),51,5
