project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
codec1.21,public,90,False,org.apache.commons.codec.language.Metaphone.metaphone(String),Metaphone,metaphone,String,org/apache/commons/codec/language/Metaphone.java,167
codec1.21,public,41,False,"org.apache.commons.codec.language.DoubleMetaphone.doubleMetaphone(String,boolean)",DoubleMetaphone,doubleMetaphone,"String,boolean",org/apache/commons/codec/language/DoubleMetaphone.java,344
codec1.21,public,30,False,org.apache.commons.codec.language.ColognePhonetic.colognePhonetic(String),ColognePhonetic,colognePhonetic,String,org/apache/commons/codec/language/ColognePhonetic.java,326
codec1.21,private,26,False,"org.apache.commons.codec.language.DoubleMetaphone.handleG(String,DoubleMetaphoneResult,int,boolean)",DoubleMetaphone,handleG,"String,DoubleMetaphoneResult,int,boolean",org/apache/commons/codec/language/DoubleMetaphone.java,630
codec1.21,private,23,False,org.apache.commons.codec.language.bm.Rule.pattern(String),Rule,pattern,String,org/apache/commons/codec/language/bm/Rule.java,536
codec1.21,private,19,False,"org.apache.commons.codec.language.Nysiis.transcodeRemaining(char,char,char,char)",Nysiis,transcodeRemaining,"char,char,char,char",org/apache/commons/codec/language/Nysiis.java,120
codec1.21,package-private,18,False,"org.apache.commons.codec.binary.Base32.decode(byte[],int,int,Context)",Base32,decode,"byte[],int,int,Context",org/apache/commons/codec/binary/Base32.java,523
codec1.21,private,18,False,"org.apache.commons.codec.digest.Sha2Crypt.sha2Crypt(byte[],String,String,int,String)",Sha2Crypt,sha2Crypt,"byte[],String,String,int,String",org/apache/commons/codec/digest/Sha2Crypt.java,153
codec1.21,private,18,False,"org.apache.commons.codec.language.DaitchMokotoffSoundex.soundex(String,boolean)",DaitchMokotoffSoundex,soundex,"String,boolean",org/apache/commons/codec/language/DaitchMokotoffSoundex.java,444
codec1.21,package-private,17,False,"org.apache.commons.codec.binary.Base32.encode(byte[],int,int,Context)",Base32,encode,"byte[],int,int,Context",org/apache/commons/codec/binary/Base32.java,629
codec1.21,package-private,17,False,"org.apache.commons.codec.binary.Base64.encode(byte[],int,int,Context)",Base64,encode,"byte[],int,int,Context",org/apache/commons/codec/binary/Base64.java,1065
codec1.21,private,17,False,"org.apache.commons.codec.digest.MurmurHash3.hash128x64Internal(byte[],int,int,long)",MurmurHash3,hash128x64Internal,"byte[],int,int,long",org/apache/commons/codec/digest/MurmurHash3.java,511
codec1.21,private,17,False,"org.apache.commons.codec.language.DoubleMetaphone.handleC(String,DoubleMetaphoneResult,int)",DoubleMetaphone,handleC,"String,DoubleMetaphoneResult,int",org/apache/commons/codec/language/DoubleMetaphone.java,500
codec1.21,private,17,False,"org.apache.commons.codec.language.DoubleMetaphone.handleJ(String,DoubleMetaphoneResult,int,boolean)",DoubleMetaphone,handleJ,"String,DoubleMetaphoneResult,int,boolean",org/apache/commons/codec/language/DoubleMetaphone.java,736
codec1.21,private,17,False,"org.apache.commons.codec.language.DoubleMetaphone.handleS(String,DoubleMetaphoneResult,int,boolean)",DoubleMetaphone,handleS,"String,DoubleMetaphoneResult,int,boolean",org/apache/commons/codec/language/DoubleMetaphone.java,817
codec1.21,public,17,False,"org.apache.commons.codec.net.QuotedPrintableCodec.encodeQuotedPrintable(BitSet,byte[],boolean)",QuotedPrintableCodec,encodeQuotedPrintable,"BitSet,byte[],boolean",org/apache/commons/codec/net/QuotedPrintableCodec.java,183
codec1.21,private,16,False,"org.apache.commons.codec.language.DoubleMetaphone.handleGH(String,DoubleMetaphoneResult,int)",DoubleMetaphone,handleGH,"String,DoubleMetaphoneResult,int",org/apache/commons/codec/language/DoubleMetaphone.java,688
codec1.21,package-private,14,False,"org.apache.commons.codec.binary.Base64.decode(byte[],int,int,Context)",Base64,decode,"byte[],int,int,Context",org/apache/commons/codec/binary/Base64.java,986
codec1.21,public,14,False,"org.apache.commons.codec.digest.Md5Crypt.md5Crypt(byte[],String,String,Random)",Md5Crypt,md5Crypt,"byte[],String,String,Random",org/apache/commons/codec/digest/Md5Crypt.java,278
codec1.21,public,14,False,org.apache.commons.codec.language.Nysiis.nysiis(String),Nysiis,nysiis,String,org/apache/commons/codec/language/Nysiis.java,243
