project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
csv1.13,public,24,False,org.apache.commons.csv.CSVFormat.equals(Object),CSVFormat,equals,Object,org/apache/commons/csv/CSVFormat.java,1618
csv1.13,private,24,False,"org.apache.commons.csv.CSVFormat.printWithQuotes(Object,CharSequence,Appendable,boolean)",CSVFormat,printWithQuotes,"Object,CharSequence,Appendable,boolean",org/apache/commons/csv/CSVFormat.java,2336
csv1.13,private,21,False,org.apache.commons.csv.CSVFormat.validate(),CSVFormat,validate,,org/apache/commons/csv/CSVFormat.java,2523
csv1.13,package-private,20,False,org.apache.commons.csv.Lexer.nextToken(Token),Lexer,nextToken,Token,org/apache/commons/csv/Lexer.java,235
csv1.13,private,18,False,org.apache.commons.csv.CSVParser.createHeaders(),CSVParser,createHeaders,,org/apache/commons/csv/CSVParser.java,600
csv1.13,private,13,False,org.apache.commons.csv.Lexer.parseEncapsulatedToken(Token),Lexer,parseEncapsulatedToken,Token,org/apache/commons/csv/Lexer.java,336
csv1.13,package-private,13,False,org.apache.commons.csv.Lexer.readEscape(),Lexer,readEscape,,org/apache/commons/csv/Lexer.java,480
csv1.13,private,12,False,"org.apache.commons.csv.CSVFormat.printWithEscapes(CharSequence,Appendable)",CSVFormat,printWithEscapes,"CharSequence,Appendable",org/apache/commons/csv/CSVFormat.java,2242
csv1.13,private,12,False,"org.apache.commons.csv.CSVFormat.printWithEscapes(Reader,Appendable)",CSVFormat,printWithEscapes,"Reader,Appendable",org/apache/commons/csv/CSVFormat.java,2285
csv1.13,public,12,False,org.apache.commons.csv.CSVFormat.toString(),CSVFormat,toString,,org/apache/commons/csv/CSVFormat.java,2462
csv1.13,package-private,12,False,org.apache.commons.csv.CSVParser.nextRecord(),CSVParser,nextRecord,,org/apache/commons/csv/CSVParser.java,883
csv1.13,public,9,False,org.apache.commons.csv.CSVPrinter.printComment(String),CSVPrinter,printComment,String,org/apache/commons/csv/CSVPrinter.java,223
csv1.13,public,9,False,org.apache.commons.csv.ExtendedBufferedReader.read(),ExtendedBufferedReader,read,,org/apache/commons/csv/ExtendedBufferedReader.java,194
csv1.13,public,9,False,"org.apache.commons.csv.ExtendedBufferedReader.read(char[],int,int)",ExtendedBufferedReader,read,"char[],int,int",org/apache/commons/csv/ExtendedBufferedReader.java,209
csv1.13,public,8,False,"org.apache.commons.csv.CSVFormat.print(Object,Appendable,boolean)",CSVFormat,print,"Object,Appendable,boolean",org/apache/commons/csv/CSVFormat.java,2108
csv1.13,package-private,8,False,org.apache.commons.csv.CSVFormat.trim(CharSequence),CSVFormat,trim,CharSequence,org/apache/commons/csv/CSVFormat.java,1467
csv1.13,private,8,False,org.apache.commons.csv.CSVParser.handleNull(String),CSVParser,handleNull,String,org/apache/commons/csv/CSVParser.java,791
csv1.13,public,8,False,org.apache.commons.csv.ExtendedBufferedReader.readLine(),ExtendedBufferedReader,readLine,,org/apache/commons/csv/ExtendedBufferedReader.java,246
csv1.13,package-private,8,False,org.apache.commons.csv.Lexer.readEndOfLine(int),Lexer,readEndOfLine,int,org/apache/commons/csv/Lexer.java,448
csv1.13,private,7,False,"org.apache.commons.csv.Lexer.parseSimpleToken(Token,int)",Lexer,parseSimpleToken,"Token,int",org/apache/commons/csv/Lexer.java,410
csv1.13,private,5,False,"org.apache.commons.csv.CSVFormat.isDelimiter(char,CharSequence,int,char[],int)",CSVFormat,isDelimiter,"char,CharSequence,int,char[],int",org/apache/commons/csv/CSVFormat.java,1987
csv1.13,private,5,False,"org.apache.commons.csv.CSVFormat.print(Object,CharSequence,Appendable,boolean)",CSVFormat,print,"Object,CharSequence,Appendable,boolean",org/apache/commons/csv/CSVFormat.java,2136
csv1.13,private,5,False,"org.apache.commons.csv.CSVFormat.print(Reader,Appendable,boolean)",CSVFormat,print,"Reader,Appendable,boolean",org/apache/commons/csv/CSVFormat.java,2172
csv1.13,public,5,True,"org.apache.commons.csv.CSVPrinter.CSVPrinter(Appendable,CSVFormat)",CSVPrinter,CSVPrinter,"Appendable,CSVFormat",org/apache/commons/csv/CSVPrinter.java,106
csv1.13,public,5,False,org.apache.commons.csv.CSVPrinter.printRecords(ResultSet),CSVPrinter,printRecords,ResultSet,org/apache/commons/csv/CSVPrinter.java,439
csv1.13,package-private,5,False,org.apache.commons.csv.ExtendedBufferedReader.getLineNumber(),ExtendedBufferedReader,getLineNumber,,org/apache/commons/csv/ExtendedBufferedReader.java,167
csv1.13,package-private,5,False,org.apache.commons.csv.Lexer.isDelimiter(int),Lexer,isDelimiter,int,org/apache/commons/csv/Lexer.java,146
csv1.13,package-private,5,False,org.apache.commons.csv.Lexer.isEscapeDelimiter(),Lexer,isEscapeDelimiter,,org/apache/commons/csv/Lexer.java,192
csv1.13,private,4,False,"org.apache.commons.csv.CSVFormat.print(InputStream,Appendable,boolean)",CSVFormat,print,"InputStream,Appendable,boolean",org/apache/commons/csv/CSVFormat.java,2078
csv1.13,private,4,False,"org.apache.commons.csv.CSVFormat.printWithQuotes(Reader,Appendable)",CSVFormat,printWithQuotes,"Reader,Appendable",org/apache/commons/csv/CSVFormat.java,2441
csv1.13,private,4,False,org.apache.commons.csv.CSVParser.addRecordValue(boolean),CSVParser,addRecordValue,boolean,org/apache/commons/csv/CSVParser.java,568
csv1.13,public,4,False,org.apache.commons.csv.CSVParser.next(),CSVParser,next,,org/apache/commons/csv/CSVParser.java,247
csv1.13,public,4,False,org.apache.commons.csv.CSVPrinter.close(boolean),CSVPrinter,close,boolean,org/apache/commons/csv/CSVPrinter.java,137
csv1.13,private,4,False,org.apache.commons.csv.CSVPrinter.printRecordObject(Object),CSVPrinter,printRecordObject,Object,org/apache/commons/csv/CSVPrinter.java,335
csv1.13,public,4,False,org.apache.commons.csv.CSVRecord.get(String),CSVRecord,get,String,org/apache/commons/csv/CSVRecord.java,125
csv1.13,private,4,False,org.apache.commons.csv.ExtendedBufferedReader.getEncodedCharLength(int),ExtendedBufferedReader,getEncodedCharLength,int,org/apache/commons/csv/ExtendedBufferedReader.java,134
csv1.13,package-private,4,False,org.apache.commons.csv.Lexer.trimTrailingSpaces(StringBuilder),Lexer,trimTrailingSpaces,StringBuilder,org/apache/commons/csv/Lexer.java,512
