project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
lang3.20,public,64,False,org.apache.commons.lang3.math.NumberUtils.createNumber(String),NumberUtils,createNumber,String,org/apache/commons/lang3/math/NumberUtils.java,323
lang3.20,public,56,False,org.apache.commons.lang3.BooleanUtils.toBooleanObject(String),BooleanUtils,toBooleanObject,String,org/apache/commons/lang3/BooleanUtils.java,734
lang3.20,public,45,False,org.apache.commons.lang3.math.NumberUtils.isCreatable(String),NumberUtils,isCreatable,String,org/apache/commons/lang3/math/NumberUtils.java,555
lang3.20,public,43,False,"org.apache.commons.lang3.RandomStringUtils.random(int,int,int,boolean,boolean,char[],Random)",RandomStringUtils,random,"int,int,int,boolean,boolean,char[],Random",org/apache/commons/lang3/RandomStringUtils.java,255
lang3.20,protected,40,False,org.apache.commons.lang3.time.FastDatePrinter.parsePattern(),FastDatePrinter,parsePattern,,org/apache/commons/lang3/time/FastDatePrinter.java,1330
lang3.20,protected,37,False,"org.apache.commons.lang3.builder.ToStringStyle.appendInternal(StringBuffer,String,Object,boolean)",ToStringStyle,appendInternal,"StringBuffer,String,Object,boolean",org/apache/commons/lang3/builder/ToStringStyle.java,1449
lang3.20,package-private,34,False,"org.apache.commons.lang3.time.DurationFormatUtils.format(Token[],long,long,long,long,long,long,long,boolean)",DurationFormatUtils,format,"Token[],long,long,long,long,long,long,long,boolean",org/apache/commons/lang3/time/DurationFormatUtils.java,239
lang3.20,private,32,False,"org.apache.commons.lang3.time.DateUtils.modify(Calendar,int,ModifyType)",DateUtils,modify,"Calendar,int,ModifyType",org/apache/commons/lang3/time/DateUtils.java,1107
lang3.20,public,31,False,"org.apache.commons.lang3.ClassUtils.isAssignable(Class<?>,Class<?>,boolean)",ClassUtils,isAssignable,"Class<?>,Class<?>,boolean",org/apache/commons/lang3/ClassUtils.java,1261
lang3.20,package-private,31,False,org.apache.commons.lang3.JavaVersion.get(String),JavaVersion,get,String,org/apache/commons/lang3/JavaVersion.java,219
lang3.20,private,29,False,"org.apache.commons.lang3.StringUtils.replaceEach(String,String[],String[],boolean,int)",StringUtils,replaceEach,"String,String[],String[],boolean,int",org/apache/commons/lang3/StringUtils.java,6400
lang3.20,private,27,False,"org.apache.commons.lang3.time.FastDateParser.getStrategy(char,int,Calendar)",FastDateParser,getStrategy,"char,int,Calendar",org/apache/commons/lang3/time/FastDateParser.java,923
lang3.20,public,23,False,org.apache.commons.lang3.Conversion.hexDigitMsb0ToBinary(char),Conversion,hexDigitMsb0ToBinary,char,org/apache/commons/lang3/Conversion.java,557
lang3.20,public,23,False,org.apache.commons.lang3.Conversion.hexDigitMsb0ToInt(char),Conversion,hexDigitMsb0ToInt,char,org/apache/commons/lang3/Conversion.java,613
lang3.20,public,23,False,org.apache.commons.lang3.Conversion.hexDigitToBinary(char),Conversion,hexDigitToBinary,char,org/apache/commons/lang3/Conversion.java,669
