project,access,cc,is_constructor,method_fen,class_name_guess,method_name,params_types,file,line_number
math3.6.1,private,139,False,"org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizer.bobyqb(double[],double[])",BOBYQAOptimizer,bobyqb,"double[],double[]",org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,382
math3.6.1,private,139,False,"org.apache.commons.math3.optimization.direct.BOBYQAOptimizer.bobyqb(double[],double[])",BOBYQAOptimizer,bobyqb,"double[],double[]",org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,387
math3.6.1,public,85,True,org.apache.commons.math3.linear.SingularValueDecomposition.SingularValueDecomposition(RealMatrix),SingularValueDecomposition,SingularValueDecomposition,RealMatrix,org/apache/commons/math3/linear/SingularValueDecomposition.java,87
math3.6.1,private,83,False,"org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizer.trsbox(double,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector)",BOBYQAOptimizer,trsbox,"double,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector",org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1810
math3.6.1,private,83,False,"org.apache.commons.math3.optimization.direct.BOBYQAOptimizer.trsbox(double,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector)",BOBYQAOptimizer,trsbox,"double,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector,ArrayRealVector",org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,1815
math3.6.1,public,73,False,"org.apache.commons.math3.ode.nonstiff.GraggBulirschStoerIntegrator.integrate(ExpandableStatefulODE,double)",GraggBulirschStoerIntegrator,integrate,"ExpandableStatefulODE,double",org/apache/commons/math3/ode/nonstiff/GraggBulirschStoerIntegrator.java,548
math3.6.1,public,72,False,"org.apache.commons.math3.geometry.euclidean.threed.FieldRotation.getAngles(RotationOrder,RotationConvention)",FieldRotation,getAngles,"RotationOrder,RotationConvention",org/apache/commons/math3/geometry/euclidean/threed/FieldRotation.java,618
math3.6.1,public,72,False,"org.apache.commons.math3.geometry.euclidean.threed.Rotation.getAngles(RotationOrder,RotationConvention)",Rotation,getAngles,"RotationOrder,RotationConvention",org/apache/commons/math3/geometry/euclidean/threed/Rotation.java,625
math3.6.1,public,66,False,"org.apache.commons.math3.special.BesselJ.rjBesl(double,double,int)",BesselJ,rjBesl,"double,double,int",org/apache/commons/math3/special/BesselJ.java,245
math3.6.1,private,53,False,"org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizer.altmov(int,double)",BOBYQAOptimizer,altmov,"int,double",org/apache/commons/math3/optim/nonlinear/scalar/noderiv/BOBYQAOptimizer.java,1266
math3.6.1,private,53,False,"org.apache.commons.math3.optimization.direct.BOBYQAOptimizer.altmov(int,double)",BOBYQAOptimizer,altmov,"int,double",org/apache/commons/math3/optimization/direct/BOBYQAOptimizer.java,1271
math3.6.1,private,46,False,org.apache.commons.math3.ml.neuralnet.twod.NeuronSquareMesh2D.createLinks(),NeuronSquareMesh2D,createLinks,,org/apache/commons/math3/ml/neuralnet/twod/NeuronSquareMesh2D.java,424
math3.6.1,public,43,False,org.apache.commons.math3.fitting.leastsquares.LevenbergMarquardtOptimizer.optimize(LeastSquaresProblem),LevenbergMarquardtOptimizer,optimize,LeastSquaresProblem,org/apache/commons/math3/fitting/leastsquares/LevenbergMarquardtOptimizer.java,296
math3.6.1,protected,43,False,org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizer.doOptimize(),LevenbergMarquardtOptimizer,doOptimize,,org/apache/commons/math3/optim/nonlinear/vector/jacobian/LevenbergMarquardtOptimizer.java,290
