method_FEN,all_cfg_paths_num,project_dir
com.fasterxml.jackson.core.json.UTF8StreamJsonParser._decodeUtf8_2(int),4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8JsonGenerator.writeNumber(short),4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.sym.ByteQuadsCanonicalizer.maybeDirty(),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.format.DataFormatMatcher.getMatchedFormatName(),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.util.BufferRecycler.withPool(RecyclerPool),2,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.sym.Name2.equals(int[],int)",4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.JsonPointer.equals(Object),4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8JsonGenerator.writeNumber(float),4,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate.writeBinary(Base64Variant,InputStream,int)",2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8StreamJsonParser.nextBooleanValue(),8,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.JsonWriteContext.writeFieldName(String),6,com_fasterxml_jackson_core
com.fasterxml.jackson.core.base.ParserMinimalBase.<init>(StreamReadConstraints),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.Version.compareTo(Version),10,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.json.async.NonBlockingUtf8JsonParserBase._parseMediumName2(int,int,int)",8,com_fasterxml_jackson_core
com.fasterxml.jackson.core.base.ParserBase.getLongValue(),5,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.ReaderBasedJsonParser.getText(Writer),6,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator.writeRawLong(String),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.JsonWriteContext.createChildObjectContext(Object),3,com_fasterxml_jackson_core
com.fasterxml.jackson.core.Base64Variants.valueOf(String),6,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8StreamJsonParser._releaseBuffers(),4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.sym.CharsToNameCanonicalizer.collisionCount(),3,com_fasterxml_jackson_core
com.fasterxml.jackson.core.util.DefaultPrettyPrinter.withArrayIndenter(Indenter),4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.util.ByteArrayBuilder.reset(),2,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.json.async.NonBlockingUtf8JsonParserBase._startUnexpectedValue(boolean,int)",14,com_fasterxml_jackson_core
com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate.writeNumber(long),6,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.async.NonBlockingJsonParserBase.getValueAsString(),3,com_fasterxml_jackson_core
com.fasterxml.jackson.core.base.ParserMinimalBase.hasTokenId(int),4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.async.NonBlockingUtf8JsonParserBase._finishToken(),43,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.json.async.NonBlockingUtf8JsonParserBase._decodeSplitMultiByte(int,int,boolean)",10,com_fasterxml_jackson_core
com.fasterxml.jackson.core.JsonFactory._getRecyclerPool(),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.ReaderBasedJsonParser._skipComment(),18,com_fasterxml_jackson_core
com.fasterxml.jackson.core.filter.FilteringParserDelegate.hasToken(JsonToken),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8StreamJsonParser.currentTokenLocation(),2,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.json.WriterBasedJsonGenerator.writeStartArray(Object,int)",3,com_fasterxml_jackson_core
com.fasterxml.jackson.core.util.TextBuffer.getTextBuffer(),6,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8StreamJsonParser._skipUtf8_4(int),64,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.util.JsonParserSequence.createFlattened(boolean,JsonParser,JsonParser)",9,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.async.NonBlockingJsonParserBase.getValueAsString(String),3,com_fasterxml_jackson_core
com.fasterxml.jackson.core.format.DataFormatMatcher.getDataStream(),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8DataInputJsonParser.getValueAsString(),4,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.io.NumberInput.inLongRange(String,boolean)",16,com_fasterxml_jackson_core
com.fasterxml.jackson.core.util.Separators.withObjectFieldValueSpacing(Spacing),2,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.io.NumberOutput.toString(float,boolean)",2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.base.ParserBase._getSourceReference(),2,com_fasterxml_jackson_core
com.fasterxml.jackson.core.JsonFactory.createParser(String),4,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.base.ParserBase._decodeBase64Escape(Base64Variant,int,int)",8,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.JsonFactory.createParser(byte[],int,int)",3,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8JsonGenerator.writeNumber(BigDecimal),3,com_fasterxml_jackson_core
com.fasterxml.jackson.core.base.ParserBase._getBigInteger(),8,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8StreamJsonParser._finishAndReturnString(),12,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.UTF8DataInputJsonParser._skipUtf8_3(),4,com_fasterxml_jackson_core
com.fasterxml.jackson.core.ErrorReportConfiguration.overrideDefaultErrorReportConfiguration(ErrorReportConfiguration),2,com_fasterxml_jackson_core
"com.fasterxml.jackson.core.filter.FilteringGeneratorDelegate.writeNumber(char[],int,int)",6,com_fasterxml_jackson_core
com.fasterxml.jackson.core.json.WriterBasedJsonGenerator._writeFieldNameTail(SerializableString),2,com_fasterxml_jackson_core
